	SLA0109	SLA0110	SLA0210	SLA0514	SLA1213	SLA1812	SLA2014	SLA2311	SLA2411	SLA2710	SLA3014	SLA3311	SLA3315	SLA615	SLA715
ENSG00000008382	88	117	123	55	153	135	57	80	83	65	15	78	63	28	60
ENSG00000008394	153	331	211	267	139	198	28	100	148	38	12	100	26	16	31
ENSG00000008405	278	250	469	272	266	254	403	244	170	153	38	285	247	112	77
ENSG00000008438	2	33	38	8	27	38	8	15	16	17	0	8	5	0	4
ENSG00000008441	155	153	235	215	230	169	154	149	141	78	34	147	65	44	82
ENSG00000008513	2490	3244	3650	3117	2935	3516	1730	2378	2056	1679	459	4057	2100	1134	1340
ENSG00000008516	70	216	233	78	149	179	84	138	167	84	27	141	95	40	82
ENSG00000008517	1692	1154	1996	1046	2341	1383	550	1244	538	971	147	2094	846	329	316
ENSG00000008710	618	585	681	322	950	787	615	523	508	432	272	597	583	151	836
ENSG00000008735	5	0	1	14	7	6	1	6	10	4	0	2	0	1	2
ENSG00000008838	469	549	651	377	668	613	378	563	410	405	120	615	481	233	348
ENSG00000008853	156	325	198	89	237	218	127	153	101	105	82	181	144	66	110
ENSG00000008869	2097	2223	2352	2230	2280	2449	987	1555	1566	1366	489	2704	1790	1253	1010
ENSG00000008952	1740	2850	2837	2901	1928	2611	1151	1996	1319	1004	293	2165	1252	467	478
ENSG00000008988	5799	6465	6403	4759	4563	5425	2211	3452	3373	3338	493	5466	3149	905	1239
ENSG00000009307	6362	9104	11257	10518	6957	9208	3816	6928	5234	3709	998	7878	5268	1769	1877
ENSG00000009335	1483	1701	1896	1829	1857	1988	766	1241	1263	960	362	1920	1412	860	878
ENSG00000009413	1999	2261	2842	3401	2302	2469	1262	1736	1593	1133	435	2632	1862	920	875
ENSG00000009694	1084	705	1831	1380	1315	1130	401	922	758	679	141	1355	875	343	362
ENSG00000009709	1	0	1	12	1	0	1	2	0	0	0	0	0	0	1
ENSG00000009724	189	275	427	334	267	294	64	194	191	134	26	357	111	98	76
ENSG00000009765	1	0	0	19	1	0	0	0	0	10	0	0	0	0	0
ENSG00000009780	304	259	381	316	282	281	125	239	185	151	60	299	186	104	95
ENSG00000009790	4655	5309	4838	3980	5834	4992	1859	3009	4275	2838	681	4783	3977	1924	1874
ENSG00000009830	98	173	175	179	214	162	82	99	159	80	43	183	122	70	99
ENSG00000009844	483	716	562	557	542	498	211	339	311	178	81	510	442	181	197
ENSG00000009950	7	4	2	18	0	2	19	2	2	6	0	4	0	0	0
ENSG00000009954	2608	3301	3409	2755	3285	2955	1343	2284	2318	2015	478	3127	1689	1111	965
ENSG00000010017	1011	1195	1277	1338	1082	1105	602	800	720	517	149	1057	799	318	341
ENSG00000010030	20	22	2	25	24	26	9	14	4	10	0	87	22	10	6
ENSG00000010072	289	270	315	289	198	291	171	236	171	97	26	319	196	66	82
ENSG00000010165	248	284	200	126	255	250	90	152	165	101	54	254	144	74	80
ENSG00000010219	92	113	137	129	98	135	60	92	84	71	28	108	51	36	50
ENSG00000010244	6354	6357	8594	7941	5960	7233	2840	3935	4506	3102	1126	6697	5057	2333	2287
ENSG00000010256	337	421	406	264	433	514	216	361	296	196	107	408	258	114	176
ENSG00000010270	359	326	378	451	336	345	156	262	239	117	65	345	264	92	105
ENSG00000010278	96	364	374	1065	170	181	278	441	230	156	60	41	190	32	132
ENSG00000010282	0	4	2	9	0	0	0	0	0	0	0	0	1	0	0
ENSG00000010292	582	881	951	564	974	868	319	687	568	569	123	889	664	389	373
ENSG00000010295	756	839	1005	827	980	1025	491	740	806	448	248	969	706	330	631
ENSG00000010310	74	55	143	83	128	90	42	96	58	58	21	154	106	62	40
ENSG00000010318	113	91	150	137	132	124	60	137	61	91	21	113	75	40	37
ENSG00000010319	11	26	28	22	38	15	7	43	0	27	2	33	2	12	11
ENSG00000010322	1458	1548	1659	1007	1774	1843	986	1314	1300	1067	411	1525	1225	618	1056
ENSG00000010327	1470	1915	1787	1146	1519	3908	1133	1942	1619	742	1160	1355	1183	626	2970
ENSG00000010361	46	81	95	45	82	82	51	46	35	57	14	94	63	31	50
ENSG00000010379	2	7	4	8	5	2	3	8	3	0	2	4	8	0	2
ENSG00000010404	274	434	505	290	505	417	427	341	173	147	54	397	325	67	153
ENSG00000010438	2	0	3	1	8	3	7	3	6	3	1	6	7	0	0
ENSG00000010539	143	162	144	217	162	159	82	153	60	103	29	160	109	60	58
ENSG00000010610	2743	4219	3758	3103	3819	3493	1021	2267	2105	1158	323	3193	2351	749	1183
ENSG00000010626	36	54	72	63	108	57	39	51	43	34	6	54	34	27	34
ENSG00000010671	934	1777	1477	2011	1201	1386	690	934	1044	597	307	1177	858	383	545
ENSG00000010704	105	98	66	119	73	147	32	104	83	40	24	140	99	36	80
ENSG00000010803	380	473	561	449	505	460	296	376	258	265	96	535	351	175	179
ENSG00000010810	4386	4832	8136	7055	6584	6664	3125	4943	3744	3705	918	7274	4026	1836	2074
ENSG00000010818	3136	4467	4289	3731	4469	3978	2295	3101	2225	2522	314	3798	2573	1471	1329
ENSG00000010932	0	0	1	2	0	3	1	2	0	0	0	1	1	0	0
ENSG00000011007	443	1021	1037	949	853	772	375	715	592	426	131	865	508	210	241
ENSG00000011009	238	282	303	154	336	301	139	212	139	126	52	239	265	70	170
ENSG00000011021	539	621	772	975	850	1033	649	622	591	339	220	726	566	401	494
ENSG00000011028	18	42	26	46	43	39	22	0	9	20	8	33	37	32	12
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	0	17	0	2	1	2	0	0	0	0	0	0	0
ENSG00000011105	6	116	44	93	41	38	48	42	52	66	32	10	95	24	162
ENSG00000011114	1127	1248	1227	1336	1135	1436	510	748	797	514	203	1227	744	333	414
ENSG00000011132	143	198	174	92	275	191	179	134	154	129	50	198	210	58	169
ENSG00000011143	80	87	129	83	109	120	38	87	46	63	16	97	78	66	66
ENSG00000011198	475	501	792	643	330	1011	173	312	383	142	108	444	334	143	142
ENSG00000011201	14	4	0	4	0	0	0	2	8	4	0	11	0	0	0
ENSG00000011243	831	850	1245	905	1128	1276	638	1066	857	680	320	1178	666	372	490
ENSG00000011258	1126	1251	1432	1539	1099	1279	618	891	825	728	204	1243	1074	490	484
ENSG00000011260	297	431	556	420	425	379	275	407	301	260	58	471	376	162	173
ENSG00000011275	1774	1980	2539	1956	2141	2360	1189	1822	1693	1680	498	2180	1818	1033	1122
ENSG00000011295	1232	1192	1962	1921	1476	1510	738	958	902	664	190	1566	949	454	424
ENSG00000011304	1785	2507	3393	2882	2930	2922	1869	2422	1522	1225	583	2629	1813	580	1243
ENSG00000011332	1	10	31	46	30	20	10	16	17	9	7	16	9	8	6
ENSG00000011347	0	0	2	32	2	0	4	6	2	3	0	2	0	0	0
ENSG00000011376	444	519	613	434	536	557	252	418	348	261	92	635	413	223	254
ENSG00000011405	1644	2086	2359	2706	1825	1985	1042	1421	1186	857	388	1896	1415	779	703
ENSG00000011422	613	591	1644	1456	1512	3343	1937	2827	924	291	165	1758	353	134	219
